,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[run number],r,step-size,rw-type,[step],mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
4,0.3,0.8,deterministic,640,24.891528670989178,20.238577025077632,2.461455893089948,0.3761163781238177,100,640,36,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,0.3,0.4,deterministic,1366,24.439264510269254,14.783774890061062,-0.5180743159405758,1.5879197773914229,100,1366,73,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,0.3,0.6,deterministic,1071,26.13187612801103,19.635681806344284,0.6539707174452037,-1.9666725756267132,100,1071,49,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,0.3,1,deterministic,794,19.53752349978636,28.178005607210743,-2.078125991851785,3.1331254957684678,100,794,29,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,0.3,1.2,deterministic,535,26.966459121184638,27.756080414928906,3.1859717938354857,-2.399817464445329,100,535,24,[3.98864337880202E-281 3.013267224855295E-281 1.0183933166044234E-281 2.7433741877431675E-281 3.3095363370959385E-281 1.9327082855367652E-281 8.466746387581294E-282 3.995085282394215E-281 3.916094939886989E-282 1.8288546452112856E-281 2.663898739855153E-281 4.082974213878978E-281 7.140676625844475E-282 4.038415000404433E-281 3.631087317600655E-281 3.82240098438448E-281 3.6873944606470185E-281 1.5376414748106746E-281 1.8984096412446968E-281 4.072183583014778E-281 3.752343098818405E-281 2.769299826415136E-281 3.438556327822513E-281 3.7766460380772374E-281 4.038415000404433E-281 1.7221052649819884E-281 2.0003552657645615E-281 4.064423231868888E-281 3.2096551473190776E-281 3.2503883655492816E-281 3.975072894521371E-281 1.8637922590591226E-281 3.555204564122276E-281 4.8562993279185994E-282 3.76461378188699E-281 3.714095162755841E-281 4.023872198172774E-281 2.4099130424136703E-281 3.4731355895400284E-281 1.2653032627154012E-281 3.27036374477026E-281 1.8288546452112856E-281 1.1844030976103394E-281 1.989439776309394E-282 4.388106852124879E-282 3.6164016554173333E-281 4.080614397567587E-281 1.3448190365818779E-281 3.960584879699527E-281 1.8637922590591226E-281],[1.3295477929340069E-280 1.0044224082850984E-280 3.394644388681412E-281 9.144580625810558E-281 1.1031787790319795E-280 6.442360951789217E-281 2.8222487958604313E-281 1.331695094131405E-280 1.3053649799623299E-281 6.096182150704285E-281 8.879662466183843E-281 1.3609914046263262E-280 2.3802255419481583E-281 1.3461383334681444E-280 1.2103624392002185E-280 1.2741336614614935E-280 1.2291314868823396E-280 5.1254715827022494E-281 6.328032137482323E-281 1.3573945276715926E-280 1.2507810329394683E-280 9.230999421383787E-281 1.1461854426075043E-280 1.2588820126924126E-280 1.3461383334681444E-280 5.740350883273295E-281 6.667850885881872E-281 1.3548077439562961E-280 1.0698850491063593E-280 1.0834627885164272E-280 1.3250242981737904E-280 6.212640863530409E-281 1.1850681880407588E-280 1.6187664426395332E-281 1.2548712606289968E-280 1.2380317209186137E-280 1.3412907327242582E-280 8.033043474712235E-281 1.1577118631800096E-280 4.217677542384671E-281 1.0901212482567532E-280 6.096182150704285E-281 3.948010325367798E-281 6.631465921031313E-282 1.4627022840416263E-281 1.2054672184724446E-280 1.3602047991891958E-280 4.4827301219395935E-281 1.3201949598998423E-280 6.212640863530409E-281]
7,0.3,1.4,deterministic,757,23.818188605196177,38.51908617815329,-2.578837726608916,2.8750167855689477,100,757,21,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,0.3,1.6,deterministic,507,23.063490459084182,36.02665679743264,0.46213634551531874,0.6891138970280424,100,507,18,[1.599755198084968E-266 1.4633506755047579E-266 1.1991952950328267E-266 4.635380637007874E-267 1.7739034717361026E-266 1.1991952950328267E-266 1.3754489220485976E-266 1.772378265589994E-266 1.7831949866297024E-266 6.555780134023996E-267 1.684780785552552E-266 3.316187794493626E-267 1.7344842981146766E-266 1.6347717752879843E-266 1.3754489220485976E-266 8.889823709808404E-267 1.6456038534679317E-266 9.177299445103693E-267 1.2437905503430076E-266 1.3754489220485976E-266 1.7279502944931813E-266 4.451643815930053E-267 1.784521319192147E-266 1.6177378898024704E-266 1.5540660130224278E-266 1.6560190385189955E-266 1.5540660130224278E-266 5.878529689988271E-267 1.717393792242961E-266 1.7652889968535245E-266 1.7118199361194876E-267 1.7690314660701883E-266 1.50307624401114E-266 1.5808167436659562E-266 6.388688467334312E-267 1.7344842981146766E-266 2.2001383198248212E-268 1.50307624401114E-266 1.3070475587287752E-266 2.726852047154695E-267 3.1213626822478675E-267 7.6846991581018375E-267 1.0141086651749992E-266 1.705927037278054E-266 5.705490991770666E-267 7.994366556464897E-267 1.4715185108254965E-266 5.878529689988271E-267 2.924920275979445E-267 1.4633506755047579E-266],[5.3325173269498926E-266 4.87783558501586E-266 3.9973176501094224E-266 1.5451268790026247E-266 5.913011572453675E-266 3.9973176501094224E-266 4.584829740161992E-266 5.907927551966647E-266 5.943983288765675E-266 2.1852600446746654E-266 5.61593595184184E-266 1.1053959314978754E-266 5.781614327048922E-266 5.4492392509599476E-266 4.584829740161992E-266 2.963274569936135E-266 5.485346178226439E-266 3.0590998150345645E-266 4.1459685011433585E-266 4.584829740161992E-266 5.759834314977272E-266 1.4838812719766845E-266 5.948404397307157E-266 5.392459632674901E-266 5.180220043408093E-266 5.520063461729985E-266 5.180220043408093E-266 1.9595098966627573E-266 5.724645974143203E-266 5.8842966561784156E-266 5.706066453731625E-267 5.8967715535672945E-266 5.0102541467038E-266 5.269389145553188E-266 2.1295628224447707E-266 5.781614327048922E-266 7.333794399416072E-268 5.0102541467038E-266 4.356825195762584E-266 9.089506823848985E-267 1.040454227415956E-266 2.561566386033946E-266 3.3803622172499974E-266 5.686423457593514E-266 1.901830330590222E-266 2.6647888521549657E-266 4.905061702751655E-266 1.9595098966627573E-266 9.749734253264817E-267 4.87783558501586E-266]
9,0.3,1.8,deterministic,822,24.340205260907787,51.60697627259322,1.4356947958173327,-1.0850838944774863,100,822,16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,0.3,2,deterministic,733,21.326989064050167,54.147945482723536,1.817472008872632,2.0128576091010206,100,733,14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,0.3,0.2,deterministic,2797,21.457732928565452,10.577334257741882,1.1686172081997983,-1.9331643964415373,100,2797,147,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
