run number,step-size,num,rw-type,step,mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
4,0.4,50,lattice,9722,25.28353493782104,39.440081135819185,-1.7559999999999933,-0.1799999999999951,100,9722,909,[0 0 270 270 90 0 270 180 90 0 0 90 90 0 0 0 270 0 0 90 180 90 90 180 90 180 270 90 180 90 270 180 90 0 180 270 0 90 0 0 0 270 90 270 0 180 270 270 0 0],[90 0 0 180 270 90 270 0 0 0 180 0 180 0 270 90 90 0 270 90 90 90 90 90 0 180 180 0 270 90 0 90 90 270 0 90 90 180 90 270 0 90 90 0 270 0 90 180 0 90]
5,0.4,100,lattice,6015,23.89424455814253,31.02257242718598,1.1940000000000053,-2.9419999999999984,100,6015,829,[270 270 0 0 0 270 180 90 270 0 180 180 270 0 180 90 0 180 0 90 270 180 90 180 180 90 0 90 90 180 180 270 270 90 0 90 270 0 90 270 270 180 0 0 0 90 180 180 0 0 90 0 270 180 0 0 90 0 270 0 0 180 180 90 90 0 180 0 180 90 270 270 270 270 180 90 0 270 90 270 0 180 180 0 180 180 90 270 0 270 180 180 0 180 90 0 180 180 0 270],[0 270 90 270 270 90 90 270 180 180 270 90 270 180 0 0 90 270 270 180 90 90 90 90 90 0 0 90 180 0 0 0 90 0 90 180 90 180 90 270 270 270 0 270 90 90 270 0 90 90 0 0 0 90 0 90 0 180 180 90 180 90 270 0 270 270 0 270 180 180 180 180 270 90 0 270 90 180 90 90 0 90 90 90 90 270 0 0 180 90 0 90 90 270 180 270 90 0 270 90]
1,0.2,50,lattice,30000,21.864994322445945,34.64101615137755,-0.167999999999997,-0.8199999999999951,98.97876914807847,0,5757,[90 0 0 180 180 270 270 270 270 180 90 90 0 180 0 270 0 180 90 180 270 180 0 90 270 270 0 90 180 90 90 180 270 90 180 180 90 90 0 90 180 0 180 270 0 180 270 0 180 0],[180 180 90 0 270 180 270 270 0 180 180 270 270 0 270 0 90 270 270 180 180 90 0 90 90 180 0 270 90 90 270 0 270 0 90 270 180 270 270 270 270 270 90 270 0 270 0 0 90 0]
6,0.4,150,lattice,5976,21.620344827499387,30.921836944140303,-0.13733333333333395,-2.601333333333337,100,5976,1041,[270 0 90 0 0 270 0 0 270 0 270 90 270 270 0 0 180 270 0 270 0 0 0 0 90 180 180 90 0 270 180 90 90 90 90 90 0 90 270 270 90 0 90 0 0 270 90 270 90 90 270 0 270 0 180 180 90 270 180 90 90 90 0 0 90 90 90 90 0 270 90 0 90 90 270 0 270 0 270 270 0 90 0 270 270 90 270 270 270 180 0 270 180 0 180 0 0 0 0 270 270 180 270 270 90 270 270 270 180 270 0 90 270 180 270 0 180 0 270 90 0 90 180 270 0 90 180 270 0 270 90 180 180 180 90 90 180 0 270 180 90 180 90 180 180 90 90 270 180 90],[90 180 90 270 90 180 180 180 0 270 180 90 0 90 270 90 90 90 90 180 270 0 0 0 0 270 0 90 90 180 90 90 0 180 90 180 0 0 90 90 270 90 0 90 0 270 0 180 90 270 180 0 180 180 180 90 90 90 90 270 270 180 90 0 0 270 0 270 0 0 270 180 270 270 180 90 270 0 270 90 180 180 270 0 270 180 270 90 180 90 180 270 0 90 180 90 90 270 90 180 90 90 270 90 180 270 180 180 90 270 0 0 0 90 0 270 180 0 90 0 0 180 270 90 90 0 0 90 270 0 180 0 0 0 270 270 0 180 90 0 0 0 180 0 180 270 180 270 90 270]
7,0.6,50,lattice,6509,24.10410799629623,48.407024283671895,3.4680000000000017,0.18800000000000228,100,6509,554,[0 0 180 90 0 0 270 90 270 270 180 270 270 270 90 180 90 270 180 0 180 0 270 180 180 0 90 90 180 180 270 270 180 0 0 90 0 180 270 270 0 90 90 180 180 270 180 0 180 0],[270 180 90 0 90 0 270 270 270 90 90 0 180 270 180 180 0 180 270 180 270 90 90 90 270 270 90 180 0 270 0 270 270 90 0 0 0 0 90 180 0 90 270 270 270 90 90 0 180 0]
8,0.6,100,lattice,3118,21.106238221251022,33.50343265995292,3.1299999999999972,-0.15599999999999908,100,3118,468,[270 270 90 270 0 0 270 90 90 90 0 180 0 180 180 0 90 0 90 90 90 90 270 90 90 180 270 90 90 180 90 180 0 270 270 90 270 0 180 270 90 270 90 0 180 0 270 180 0 90 90 90 90 0 180 0 90 0 0 0 270 270 0 90 180 90 180 270 90 0 0 270 180 90 180 180 180 270 90 90 180 270 90 270 0 0 180 90 90 180 90 0 180 90 0 90 180 90 180 180],[90 180 270 90 270 180 180 90 270 180 0 0 90 0 90 270 270 0 270 270 90 0 90 180 180 180 90 270 90 90 180 90 270 0 90 270 180 0 180 270 270 180 180 180 270 180 0 90 0 180 0 90 270 0 0 270 90 180 0 180 0 180 90 0 180 180 90 270 270 270 0 270 90 180 270 270 270 180 90 180 180 90 0 90 270 0 0 180 270 180 0 180 180 180 90 270 270 180 0 0]
10,0.8,50,lattice,3372,23.002879439490588,46.45513965106552,-1.9279999999999995,1.643999999999999,100,3372,330,[90 180 270 180 270 180 180 180 0 180 90 180 90 270 90 90 180 180 270 90 180 90 270 90 180 180 0 0 270 270 90 0 180 180 180 0 180 270 0 0 0 0 0 180 0 0 270 180 270 90],[270 180 0 0 0 180 0 90 0 90 90 270 0 90 270 0 270 270 0 270 0 270 180 270 0 180 0 90 270 270 0 90 0 270 0 270 0 270 0 270 90 180 0 90 180 180 90 270 90 0]
3,0.2,150,lattice,18123,20.18144773754167,26.924338431983802,0.7346666666666644,-0.7453333333333271,100,18123,3514,[0 270 0 0 90 0 90 180 180 270 90 180 270 270 0 0 180 90 90 0 270 0 180 0 90 180 0 270 0 90 90 90 0 270 0 180 270 180 270 0 270 270 180 270 0 270 270 180 90 90 270 270 0 0 0 270 270 0 0 90 90 90 90 90 90 270 180 90 270 180 90 270 180 0 0 0 270 180 90 90 270 180 270 0 90 90 0 180 180 0 0 180 0 270 180 180 90 180 0 0 0 90 180 180 0 180 90 270 270 270 0 0 180 90 180 180 90 0 90 0 0 180 90 180 90 0 90 0 270 270 270 90 270 180 90 0 90 180 90 180 90 270 90 90 0 90 0 270 270 270],[0 180 90 270 0 0 90 0 180 90 90 180 90 90 180 90 90 0 270 90 270 180 0 180 270 90 180 270 0 90 270 270 180 180 0 180 0 180 0 0 90 0 0 90 180 180 90 180 180 270 270 180 180 0 180 270 90 0 270 180 270 270 180 0 180 0 0 180 90 0 180 90 180 0 270 0 180 0 0 90 270 180 90 0 270 0 0 90 180 0 180 180 90 180 0 90 180 180 90 90 0 90 90 0 270 90 270 270 90 270 90 270 270 270 0 90 90 270 90 270 90 0 90 180 0 270 270 180 270 180 180 180 90 0 90 180 180 270 90 90 180 270 270 270 90 0 270 270 180 270]
9,0.6,150,lattice,2735,22.15183476982768,31.378336475982916,-2.118666666666667,-0.22666666666666538,100,2735,468,[270 90 180 270 0 90 90 90 270 180 0 90 0 0 90 0 90 90 180 90 270 0 90 90 0 270 180 90 0 270 180 0 0 90 90 90 270 270 90 90 180 90 180 180 270 180 90 0 270 180 0 0 180 270 270 0 180 270 90 180 0 90 270 270 0 90 0 0 270 180 90 180 0 90 270 0 0 270 180 90 180 0 270 180 0 180 270 270 180 90 270 0 180 270 270 0 180 0 270 270 270 180 90 90 0 180 180 270 270 180 180 180 0 0 90 0 90 270 0 0 270 90 180 90 180 180 0 0 180 270 180 180 270 90 90 270 0 0 90 0 90 0 0 0 270 90 0 0 270 0],[90 0 270 90 270 90 270 180 180 180 90 90 0 90 90 0 0 0 90 90 0 270 270 90 180 90 180 270 270 180 270 270 270 180 0 180 90 270 270 0 0 90 180 0 270 90 270 90 0 90 0 270 90 180 180 180 270 270 180 270 180 270 0 180 180 90 180 270 180 90 0 180 0 180 180 270 0 90 180 180 270 0 270 180 270 0 90 180 90 270 270 180 90 270 270 90 270 180 0 90 0 0 180 180 180 270 270 180 180 180 0 0 0 90 0 90 270 0 270 90 180 270 270 180 0 90 0 0 270 90 90 0 180 270 180 270 90 180 180 270 180 180 270 90 180 180 90 90 90 180]
13,1,50,lattice,2117,23.254404883518966,46.010868281309364,1.92,1.92,100,2117,144,[90 180 0 270 180 270 0 270 180 0 180 180 0 180 90 0 270 0 90 270 180 0 90 0 90 90 90 270 0 90 180 0 270 180 270 90 180 180 0 180 180 90 90 270 270 180 270 180 0 270],[0 90 270 270 180 180 270 270 180 0 0 0 180 0 90 270 180 0 0 90 0 180 180 180 0 270 90 180 0 180 90 0 0 90 90 90 90 90 90 0 90 270 90 270 0 180 90 180 270 270]
