,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[run number],step-size,num,rw-type,[step],mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
1,0.2,50,lattice,30000,32.95261631353184,34.64101615137755,2.799999999999983,3.855999999999988,72.45368101166552,0,14474,[0 0 90 270 90 90 180 0 90 270 90 0 90 270 180 270 180 270 180 270 0 270 0 0 270 180 0 180 270 270 180 0 180 180 180 180 90 0 180 0 0 0 0 270 0 270 270 180 180 270],[180 270 90 0 270 270 90 0 180 270 270 90 180 0 180 270 0 180 0 270 180 90 270 180 90 270 270 180 90 180 90 180 180 90 270 90 0 90 270 0 90 90 90 270 0 270 90 270 0 0]
4,0.4,50,lattice,30000,39.273774760793884,69.2820323027551,1.4759999999999507,-3.1519999999999904,99.97059111851779,0,4423,[180 0 180 90 0 180 90 0 0 180 180 180 0 90 180 90 270 0 180 180 270 90 90 90 90 270 270 270 90 270 270 90 180 180 0 0 180 0 90 270 0 0 0 90 90 180 0 90 180 0],[90 0 90 270 270 0 0 180 90 270 270 180 90 270 0 180 90 270 90 270 180 0 0 180 90 270 180 270 270 270 180 270 0 0 90 180 90 0 90 270 180 180 180 0 270 180 90 270 180 90]
2,0.2,100,lattice,30000,28.76714180700339,34.64101615137755,-1.4760000000000082,-2.140000000000017,77.00225468091364,0,12712,[180 180 270 180 180 0 270 180 0 270 180 0 270 0 180 0 270 180 270 270 0 270 270 0 180 0 270 90 270 90 180 0 90 90 0 90 90 90 270 0 180 90 270 180 90 270 180 270 90 90 0 270 270 90 0 0 270 270 180 180 270 0 180 270 90 90 0 270 270 0 0 270 270 90 0 90 0 0 270 270 270 0 270 270 270 0 0 90 270 90 270 0 90 180 0 90 270 0 270 0],[0 270 90 180 180 90 0 270 90 270 270 90 0 0 0 180 270 270 0 90 90 0 270 0 90 0 180 180 90 90 180 90 270 90 0 270 90 180 270 90 180 180 90 180 90 180 270 270 270 270 270 270 180 180 0 180 90 90 180 180 90 180 180 270 270 90 270 0 180 270 180 270 90 180 90 270 90 270 90 180 90 270 90 270 90 0 270 90 270 0 270 0 90 0 270 0 90 90 90 0]
7,0.6,50,lattice,17347,39.56714623604915,79.02480623196745,-7.1439999999999975,-7.071999999999998,100,17347,1819,[270 90 0 90 270 0 270 90 270 0 0 90 0 180 270 90 90 180 180 90 270 270 0 0 0 90 180 180 0 0 0 0 270 180 270 270 0 180 0 180 270 0 270 180 90 180 270 90 180 0],[270 270 0 270 0 0 270 0 270 180 90 90 270 270 0 90 0 0 270 90 180 270 180 270 90 180 90 90 90 0 180 90 180 90 180 270 270 90 0 0 0 270 270 90 180 180 0 0 90 0]
5,0.4,100,lattice,21671,37.84393346307106,58.884293321733935,-3.6620000000000075,0.22199999999998332,100,21671,2026,[0 180 180 0 270 0 90 0 270 180 0 270 270 0 0 180 180 270 180 0 180 270 180 90 270 180 90 270 270 0 270 180 90 270 270 90 180 180 0 270 90 0 90 180 180 270 270 270 270 270 90 0 0 270 270 90 180 270 0 270 90 90 180 90 90 0 90 180 180 180 90 270 0 270 270 270 270 270 270 270 270 90 90 180 0 0 90 0 0 270 0 180 0 0 180 0 0 0 0 180],[270 90 0 270 90 270 180 180 180 90 0 0 180 270 270 180 0 180 90 270 270 270 270 0 0 270 270 180 180 0 90 90 90 270 90 0 0 180 90 270 180 90 270 0 90 90 90 180 270 0 0 270 180 90 180 270 0 0 0 0 270 0 0 0 90 180 270 0 270 0 0 90 0 180 180 90 270 90 90 0 0 0 90 0 0 90 90 0 0 270 180 180 180 90 0 0 270 0 0 270]
3,0.2,150,lattice,30000,29.046612432855728,34.64101615137755,2.5173333333333314,-3.5479999999999996,83.94275071071463,0,12258,[180 0 180 180 0 270 180 180 0 270 90 270 180 0 0 180 90 180 0 180 270 90 180 90 270 270 0 180 270 180 180 270 90 90 180 0 180 180 180 180 0 90 270 0 0 270 270 270 270 180 180 90 90 90 270 180 180 90 0 270 0 270 180 180 270 90 180 180 0 90 180 90 270 90 0 180 90 270 90 270 180 270 180 270 270 0 90 0 0 270 270 270 0 90 0 180 0 180 0 270 0 0 180 180 180 90 270 270 270 90 0 270 0 180 90 180 270 0 0 180 90 180 180 180 0 180 270 270 180 0 0 180 90 0 90 180 0 180 270 90 270 180 90 90 180 0 90 270 90 90],[180 0 90 90 270 0 0 180 90 180 180 180 90 90 0 180 180 270 0 180 270 180 180 180 270 0 0 180 0 90 90 90 180 90 270 180 270 0 90 90 0 90 270 180 180 90 180 0 0 0 180 270 90 90 90 180 90 270 270 180 270 90 180 0 270 180 90 0 90 270 90 90 180 270 90 0 270 0 90 90 180 90 180 90 90 270 0 90 270 0 0 0 90 90 270 180 0 90 270 0 180 90 180 180 90 270 180 270 0 0 180 90 270 0 180 0 180 90 0 90 0 180 180 0 90 270 0 0 180 180 270 90 90 90 0 0 90 90 270 0 90 270 0 0 90 0 270 0 0 90]
6,0.4,150,lattice,18057,36.12656044621486,53.750534881059565,-0.9759999999999927,0.04799999999999704,100,18057,2261,[90 270 0 180 0 180 180 180 270 0 90 270 0 90 180 90 270 180 0 0 180 90 270 270 0 180 0 90 180 270 0 90 90 0 90 270 90 90 0 270 90 90 270 270 90 0 0 270 270 180 270 180 0 270 270 270 270 270 0 0 90 180 270 0 0 90 90 90 90 90 0 180 180 270 0 0 180 180 90 0 270 270 270 0 90 0 0 180 180 0 270 90 0 0 270 270 0 0 90 0 180 0 0 90 90 180 180 90 0 270 180 90 0 0 90 0 180 270 0 180 0 270 180 180 180 180 270 0 0 90 0 270 90 0 270 90 0 180 0 90 0 0 90 270 270 0 90 270 0 180],[0 0 180 90 90 270 90 90 0 0 0 0 180 90 180 270 270 270 90 180 270 0 270 90 270 270 270 270 90 0 180 90 0 90 270 0 0 90 90 90 270 270 0 270 0 270 90 180 0 90 180 270 90 180 270 180 0 90 0 270 180 0 90 180 90 90 0 90 0 0 180 270 270 0 90 270 0 180 0 180 90 270 90 90 90 180 0 90 0 0 180 90 0 270 270 180 90 180 0 0 180 270 0 90 90 0 0 270 90 180 180 90 180 270 180 90 90 270 90 180 90 0 90 270 180 0 90 90 180 0 270 0 180 180 90 90 90 0 270 180 0 90 180 0 180 180 180 180 90 270]
10,0.8,50,lattice,8376,36.255376936027396,73.21639160734433,-0.8959999999999988,2.684000000000012,100,8376,1212,[270 90 90 270 270 180 90 180 90 180 270 0 0 270 270 90 180 270 270 0 90 0 0 180 90 0 90 0 90 90 180 90 180 270 180 0 270 90 270 90 90 0 180 180 90 180 270 0 180 0],[0 180 270 0 0 270 90 90 90 180 0 90 0 270 0 270 270 180 180 180 0 180 90 270 180 90 180 270 0 270 180 90 180 0 90 90 270 90 180 180 0 180 270 90 0 180 270 180 90 0]
8,0.6,100,lattice,10646,35.25341644687276,61.90767319161656,0.6019999999999947,3.085999999999995,100,10646,1150,[180 90 90 270 90 180 0 0 270 90 180 90 0 180 0 90 180 270 90 270 90 180 90 0 270 90 0 90 180 90 270 0 90 0 270 0 270 180 270 180 180 180 180 90 90 0 90 0 180 0 0 0 90 270 270 0 90 180 270 90 180 270 90 270 90 0 90 0 90 180 180 270 0 180 90 270 270 180 270 0 270 0 270 0 270 180 90 180 0 90 270 270 90 180 270 90 0 0 270 180],[90 180 90 90 0 270 0 180 180 180 90 0 0 0 90 0 90 90 180 270 0 90 270 180 180 90 270 180 180 90 90 270 90 270 270 0 90 270 0 90 0 180 90 270 0 90 0 270 90 180 180 90 90 0 0 90 270 270 0 270 0 90 90 0 90 180 180 270 90 0 0 0 0 0 180 270 90 90 90 0 270 270 0 180 90 90 0 0 180 270 0 180 0 180 90 0 0 180 90 180]
9,0.6,150,lattice,6651,37.635587138346295,48.93219798864547,1.888,-1.1626666666666692,100,6651,1027,[0 90 0 180 0 90 270 180 270 0 0 270 270 0 180 0 90 270 270 90 180 0 180 180 0 90 270 180 0 0 0 90 90 90 90 270 270 180 0 180 180 90 270 180 270 90 0 90 180 90 270 90 270 0 270 270 0 0 270 0 90 90 90 0 270 0 90 180 180 180 180 180 270 270 270 180 180 90 0 270 270 270 0 0 270 90 90 90 180 90 180 270 0 90 90 0 180 180 180 270 0 0 270 270 180 0 180 180 90 0 90 0 270 270 270 90 270 90 0 90 0 180 0 180 0 180 270 90 270 180 180 90 270 0 90 270 180 180 180 270 180 270 270 180 0 0 180 180 270 270],[0 180 270 270 0 180 0 180 90 0 270 270 0 90 0 180 90 0 0 180 0 90 270 0 180 90 270 90 90 270 270 180 180 90 0 90 90 180 0 270 0 270 90 0 90 0 180 180 180 270 180 90 180 90 90 180 0 270 180 90 270 0 0 270 180 0 270 0 90 270 90 0 0 90 180 180 0 0 270 90 90 180 90 90 90 0 270 180 270 180 270 270 0 180 0 180 270 270 0 270 0 0 180 0 90 0 180 90 180 0 90 0 0 90 180 270 180 90 90 270 90 90 180 90 270 90 270 180 0 270 270 180 90 90 90 180 180 90 270 90 180 0 270 0 90 0 0 180 0 270]
